id_encuesta,id_alumno,id_asignatura,fecha_encuesta,satisfaccion_global,satisfaccion_docente,satisfaccion_contenido,satisfaccion_facilidad,comentario
1,188,12,2025-02-14,5,5,9,10,Contenido difícil pero útil
2,139,21,2024-12-14,4,8,4,4,Muy buena asignatura
3,196,1,2025-12-16,7,5,10,6,Profesor excelente
4,182,5,2025-03-13,4,5,8,10,Demasiado contenido en poco tiempo
5,16,20,2025-06-17,9,9,8,10,Las prácticas ayudan mucho
6,5,1,2026-02-19,8,8,7,3,Muy buena asignatura
7,136,24,2025-04-27,6,8,6,3,
8,179,22,2024-06-21,7,10,5,4,Profesor excelente
9,135,5,2024-06-23,5,5,8,7,Demasiado contenido en poco tiempo
10,69,13,2024-10-05,4,6,7,10,
11,63,23,2024-10-09,5,6,9,4,Muy buena asignatura
12,24,13,2025-07-08,7,7,8,10,Muy buena asignatura
13,164,1,2025-12-26,9,5,4,10,Muy recomendable
14,166,11,2026-04-22,8,10,4,3,Necesita mejorar la organización
15,55,23,2024-07-22,8,7,6,3,Profesor excelente
16,176,9,2025-05-16,8,8,9,3,Contenido difícil pero útil
17,81,1,2025-04-03,5,8,5,9,Profesor excelente
18,77,6,2025-08-16,8,5,8,9,
19,85,13,2024-10-22,10,9,5,4,
20,191,12,2024-09-25,4,4,7,6,Profesor excelente
21,88,20,2024-06-19,10,8,8,9,Demasiado contenido en poco tiempo
22,8,21,2025-03-27,6,10,7,10,Necesita mejorar la organización
23,92,18,2024-09-24,7,7,5,9,Profesor excelente
24,198,20,2025-03-26,6,10,5,4,Profesor excelente
25,69,5,2024-08-19,7,9,10,5,Muy recomendable
26,82,12,2026-05-16,4,4,4,7,Las prácticas ayudan mucho
27,93,25,2024-07-26,6,4,5,4,Contenido difícil pero útil
28,111,15,2024-06-01,8,8,8,9,Profesor excelente
29,7,3,2024-12-17,6,8,4,8,Muy recomendable
30,4,10,2024-06-21,7,7,10,4,
31,63,19,2025-10-02,8,5,9,9,Contenido difícil pero útil
32,36,9,2026-01-23,6,6,7,5,Profesor excelente
33,43,14,2024-06-09,6,7,6,10,Profesor excelente
34,93,9,2025-08-21,5,9,9,10,
35,158,7,2026-04-10,7,4,5,7,Muy buena asignatura
36,102,11,2025-07-31,10,8,7,8,Las prácticas ayudan mucho
37,86,14,2024-08-28,10,10,10,5,Clases dinámicas y entretenidas
38,83,20,2024-09-15,9,5,7,8,Contenido difícil pero útil
39,102,11,2025-12-22,6,9,9,10,
40,63,11,2025-10-24,7,6,10,9,Demasiado contenido en poco tiempo
41,30,19,2026-02-20,5,8,8,5,
42,7,24,2026-03-12,7,9,5,10,Clases dinámicas y entretenidas
43,178,3,2025-12-20,10,10,10,9,Las prácticas ayudan mucho
44,36,21,2025-07-03,6,5,6,5,Muy recomendable
45,97,3,2025-11-18,7,8,7,9,
46,130,23,2024-08-26,7,8,4,8,
47,153,21,2026-04-19,4,4,10,6,Demasiado contenido en poco tiempo
48,43,21,2024-07-25,8,4,8,9,Demasiado contenido en poco tiempo
49,111,4,2024-06-22,4,4,6,6,
50,192,17,2024-10-14,8,8,9,6,Las prácticas ayudan mucho
51,96,13,2026-01-23,7,10,9,5,Demasiado contenido en poco tiempo
52,7,16,2025-12-16,4,6,7,4,Profesor excelente
53,187,5,2024-05-25,6,6,6,10,Necesita mejorar la organización
54,134,16,2025-04-13,6,7,4,10,Las prácticas ayudan mucho
55,82,3,2025-09-19,6,4,10,4,Muy buena asignatura
56,88,21,2025-05-21,4,9,10,5,Necesita mejorar la organización
57,133,6,2024-10-24,8,5,6,9,Las prácticas ayudan mucho
58,60,13,2024-12-24,9,5,5,9,Muy recomendable
59,8,24,2025-06-14,8,5,7,9,Muy recomendable
60,2,23,2025-09-05,5,5,6,4,
61,27,18,2025-11-01,5,6,6,6,Las prácticas ayudan mucho
62,30,9,2024-06-24,9,10,7,8,
63,100,20,2026-01-01,7,8,4,8,Demasiado contenido en poco tiempo
64,118,20,2025-04-25,5,10,9,7,
65,152,3,2025-06-08,9,5,6,4,Necesita mejorar la organización
66,79,4,2025-01-26,5,6,9,5,
67,100,14,2025-10-08,8,5,8,9,Muy recomendable
68,48,16,2025-08-07,9,8,9,5,
69,43,16,2025-11-20,6,5,5,8,Las prácticas ayudan mucho
70,159,2,2024-09-22,10,6,4,10,Contenido difícil pero útil
71,50,13,2025-09-21,8,8,9,10,Muy recomendable
72,176,16,2025-08-02,7,9,10,10,Las prácticas ayudan mucho
73,43,3,2026-04-01,8,4,10,6,Clases dinámicas y entretenidas
74,9,9,2025-01-23,5,8,6,5,Las prácticas ayudan mucho
75,145,24,2025-08-19,10,10,7,4,
76,30,9,2024-12-14,10,8,10,8,
77,194,2,2026-05-06,10,9,7,6,Muy recomendable
78,27,24,2024-10-16,10,9,10,6,Clases dinámicas y entretenidas
79,9,15,2025-04-06,6,6,10,4,Las prácticas ayudan mucho
80,31,25,2024-12-07,10,5,5,8,
81,162,14,2025-07-03,5,8,5,6,Necesita mejorar la organización
82,16,19,2025-09-11,6,8,6,5,Demasiado contenido en poco tiempo
83,181,10,2025-01-19,6,8,6,4,Contenido difícil pero útil
84,193,14,2026-01-04,4,6,10,5,Contenido difícil pero útil
85,64,5,2025-12-21,9,6,10,6,Muy recomendable
86,126,5,2025-10-30,8,9,6,9,Muy recomendable
87,116,3,2025-10-12,9,10,10,4,Muy recomendable
88,132,24,2025-12-29,6,9,6,10,Las prácticas ayudan mucho
89,84,19,2024-08-21,4,10,10,4,Las prácticas ayudan mucho
90,163,22,2025-09-16,9,6,10,4,
91,102,7,2025-07-26,7,10,5,10,Clases dinámicas y entretenidas
92,83,10,2025-03-20,6,8,8,5,
93,125,11,2025-08-04,9,10,4,3,Profesor excelente
94,161,15,2025-12-30,4,4,10,5,Las prácticas ayudan mucho
95,117,1,2024-12-25,7,5,9,5,Clases dinámicas y entretenidas
96,41,9,2025-05-06,4,9,6,7,Profesor excelente
97,96,22,2025-06-07,9,5,4,9,Clases dinámicas y entretenidas
98,186,23,2026-03-03,10,5,7,4,Profesor excelente
99,1,7,2025-04-11,7,4,5,6,
100,175,15,2025-09-30,4,4,9,8,Profesor excelente
101,109,23,2024-10-07,5,7,4,6,Muy recomendable
102,23,24,2025-02-04,10,4,4,8,Demasiado contenido en poco tiempo
103,77,5,2024-12-05,7,10,10,5,Contenido difícil pero útil
104,18,17,2025-01-04,8,4,8,5,Las prácticas ayudan mucho
105,90,24,2025-01-18,5,9,9,5,Muy recomendable
106,158,22,2026-02-17,7,10,5,4,Profesor excelente
107,36,25,2025-09-22,4,8,9,9,Demasiado contenido en poco tiempo
